,source,target,source_gptzero,source_detectgpt,target_gptzero,target_detectgpt
0,"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank."," Dr. Goldberg is simply the perfect general practitioner. He's not just friendly and approachable, but he's also punctual with his appointments. He's affiliated with a renowned hospital like NYU, which adds to his credibility. Additionally, he doesn't mandate that you see him first before seeking referrals to specialists. Frankly, he has exceeded my expectations in every way, and I can't think of any flaws.",0,1,0,0
1,"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of repeated calling to get an answer.  Who has time for that or wants to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medical needs, why isn't anyone answering the phone?  It's incomprehensible and not work the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars."," I've noticed a frustrating pattern amongst doctors in NYC, and unfortunately Dr. Goldberg is no exception. Although he is a competent doctor, his staff is severely lacking in communication skills. It's almost impossible to get someone to answer the phone, and it often takes several hours of persistent calling. This is a common issue I've faced with other doctors in the area, and it's incredibly frustrating. It's hard to understand why their staff can't seem to manage the simple task of answering a phone. Due to this issue, I regret that I can only give Dr. Goldberg 2 stars.",1,1,1,1
2,"Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids. He explores all options with you and is very patient and understanding. He doesn't judge and asks all the right questions. Very thorough and wants to be kept in the loop on every aspect of your medical health and your life."," I've been seeing Dr. Goldberg for a decade now, and I couldn't be happier with the care he provides. When he first joined the team at MHMG, I was one of his very first patients, and he's been there for me every step of the way. He's a big-picture kind of doctor who looks at all aspects of your health to get the full picture. Thanks to his thorough approach, he was able to diagnose my fibroids when my former gynecologist didn't. Dr. Goldberg is compassionate, attentive, and always listens to your concerns.",0,1,0,1
3,Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.  He will be missed very much.  \n\nI think finding a new doctor in NYC that you actually like might almost be as awful as trying to find a date!, Received a mail last week that informed me about Dr. Goldberg's upcoming move to Arizona for a new job. His presence will be dearly missed.,0,1,0,1
4,"I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke. And to make matters even worse, his office staff is incompetent. 90% of the time when you call the office, they'll put you through to a voice mail, that NO ONE ever answers or returns your call. Both my adult children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserve better and they will not be there when you really need them. I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money."," I have had a terrible experience with Dr. Goldberg and his office. It seems like he is only concerned with making money and not at all with his patients' well-being. Refilling prescriptions is impossible and the staff is completely incompetent. After much frustration, my loved ones and I have decided to find another doctor who actually cares. ",1,1,0,1
5,Top notch doctor in a top notch practice. Can't say I am surprised when I was referred to him by another doctor who I think is wonderful and because he went to one of the best medical schools in the country. \nIt is really easy to get an appointment. There is minimal wait to be seen and his bedside manner is great.," I was recommended to a top-notch doctor by someone I trust, and I wasn't disappointed. The doctor went to one of the best medical schools in the country, and his practice is top-notch as well. Scheduling an appointment is a breeze, and I appreciated the short wait time and excellent bedside manner. ",0,1,0,0
6,"Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly. We are happy to have him in the neighborhood and look forward to being his patients for many years to come."," We have been lucky to have Dr. Eric Goldberg as our doctor, as he is always able to diagnose any medical issue my wife and I have had correctly. Accessibility has never been a concern, as Dr. Goldberg and his staff are always easy to reach and happy to schedule appointments quickly. We are grateful for his service to our community and plan to continue seeing him for years to come.",0,1,0,1
7,"I'm writing this review to give you a heads up before you see this Doctor. The office staff and administration are very unprofessional. I left a message with multiple people regarding my bill, and no one ever called me back. I had to hound them to get an answer about my bill. \n\nSecond, and most important, make sure your insurance is going to cover Dr. Goldberg's visits and blood work. He recommended to me that I get a physical, and he knew I was a student because I told him. I got the physical done. Later, I found out my health insurance doesn't pay for preventative visits. I received an $800.00 bill for the blood work. I can't pay for my bill because I'm a student and don't have any cash flow at this current time. I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would cover work that wasn't necessary and was strictly preventative. The office can't do anything to help me cover the bill. In addition, the office staff said the onus is on me to make sure my insurance covers visits. Frustrating situation!"," I feel compelled to write this review and warn you about seeing Dr. Goldberg. The office staff and administration are unprofessional in their handling of patient needs. I called several times about my bill, but never received a call back. It took a lot of effort on my part to get a response. Additionally, Dr. Goldberg recommended services that my insurance didn't cover, leading to unexpected bills that have been tough to manage. When I asked the staff for assistance, they were unable to help. It's important to be aware of the potential costs before deciding to work with this doctor.",1,1,0,1
8,"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent."," Some say that wing sauce is the lifeline of chicken wings. A mixture of hot sauce and butter, the sauce that is smothered over the wings should be more flavorful, considering the hefty price tag of $1 per wing. Surprisingly, both the hot and extra hot variants offer a similar taste and spice level. Apart from wings, the restaurant serves a mean fish sandwich and decent sides. ",1,1,0,1
9,"Decent range somewhat close to the city.  The mats are pretty solid; however, the grass range needs to be tended too.  It's like hitting out of US Open type rough...not very amenable to practicing.  Which kind of defeats the purpose of going to a golf range...Still gets 3 stars because the range is lit up at night which is excellent for those of us who are addicted to this amazing game, but are somewhat short on time (having a job kinda sucks sometimes, no?)."," Good enough range with proximity to the city. The mats are sturdy, but the grass range needs attention. The rough feels like US Open style and may not be suitable for practice. Despite that, it's still a 3-star range that is well-lit at night for golf enthusiasts who are pressed for time due to work commitments.",1,1,1,1
10,"Owning a driving range inside the city limits is like a license to print money.  I don't think I ask much out of a driving range.  Decent mats, clean balls and accessible hours.  Hell you need even less people now with the advent of the machine that doles out the balls.  This place has none of them.  It is april and there are no grass tees yet.  BTW they opened for the season this week although it has been golfing weather for a month.  The mats look like the carpet at my 107 year old aunt Irene's house.  Worn and thread bare.  Let's talk about the hours.  This place is equipped with lights yet they only sell buckets of balls until 730.  It is still light out.  Finally lets you have the pit to hit into.  When I arrived I wasn't sure if this was a driving range or an excavation site for a mastodon or a strip mining operation.  There is no grass on the range. Just mud.  Makes it a good tool to figure out how far you actually are hitting the ball.  Oh, they are cash only also.\n\nBottom line, this place sucks.  The best hope is that the owner sells it to someone that actually wants to make money and service golfers in Pittsburgh."," Running a driving range in the city limits could be a profitable business - if done right. As a customer, I don't expect much - just decent mats, clean balls, and accessible operating hours. However, the place I went to has none of these. The grass tees weren't even ready in April, despite the warm golfing weather. The mats were old and worn out, and they would close early despite the lights they had. The hitting area was just mud, making it difficult to enjoy hitting. One can only hope that the owner sells it to someone who can do better.",1,1,1,1
